meal_id,meal_name,meal_type,region,cuisine,diet_type,ingredients,serving_size_g,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,source_name,source_type,retrieved_date
IND_MEAL_081,French onion soup with Dry arbi (Sookhi arbi),Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"French onion soup (150g), Dry arbi (Sookhi arbi) (100g)",250,218.36,19.24,17.53,30.55,3.99,3.8,16885.58,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_082,Hot and sour soup with Jackfruit/Kathal (dry),Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Hot and sour soup (150g), Jackfruit/Kathal (dry) (100g)",250,536.24,5.61,7.23,53.75,2.23,4.54,278.57,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_083,Talaumein soup with Cauliflower basket,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Talaumein soup (150g), Cauliflower basket (100g)",250,144.4,20.39,10.22,25.05,5.31,2.62,16826.43,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_084,Cold cucumber soup (Thanda kheere ka soup) with Creamed spinach and mushroom,Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cold cucumber soup (Thanda kheere ka soup) (150g), Creamed spinach and mushroom (100g)",250,491.67,6.77,10.04,47.12,2.34,6.18,272.19,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_085,Cold summer garden soup with Tossed green salad,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cold summer garden soup (150g), Tossed green salad (100g)",250,123.66,14.19,7.79,24.36,4.12,2.59,14944.52,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_086,Chapati/Roti with French dressing,Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Chapati/Roti (150g), French dressing (100g)",250,1037.24,9.14,57.15,84.99,9.69,4.51,262.87,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_087,Plain parantha/paratha with Bathua raita,Snack,North Indian,North Indian Cuisine,Vegetarian,"Plain parantha/paratha (150g), Bathua raita (100g)",250,501.85,11.72,51.35,27.05,10.33,5.4,204.03,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_088,Potato parantha/paratha (Aloo ka parantha/paratha) with Pumpkin kheer (Kaddu ki kheer),Beverage,North Indian,North Indian Cuisine,Vegetarian,"Potato parantha/paratha (Aloo ka parantha/paratha) (150g), Pumpkin kheer (Kaddu ki kheer) (100g)",250,393.91,8.31,46.32,19.19,6.9,11.84,211.79,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_089,Radish parantha/paratha (Mooli ka parantha/paratha) with Choconut ice cream,Dessert,North Indian,North Indian Cuisine,Vegetarian,"Radish parantha/paratha (Mooli ka parantha/paratha) (150g), Choconut ice cream (100g)",250,549.24,9.99,53.94,32.78,6.99,22.98,220.38,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_090,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha) with Vanilla ice cream with apples in hot cherry sauce,Breakfast,North Indian,North Indian Cuisine,Vegetarian,"Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha) (150g), Vanilla ice cream with apples in hot cherry sauce (100g)",250,463.43,7.32,51.01,25.66,7.28,15.91,316.59,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_091,Dal parantha/paratha with Cold orange souffle,Lunch,North Indian,North Indian Cuisine,Vegetarian,"Dal parantha/paratha (150g), Cold orange souffle (100g)",250,575.55,16.11,61.31,29.4,9.8,16.57,280.73,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_092,Sprouted moong parantha/paratha with Apple crumb pudding,Dinner,North Indian,North Indian Cuisine,Vegetarian,"Sprouted moong parantha/paratha (150g), Apple crumb pudding (100g)",250,563.74,7.98,71.63,27.52,8.07,29.9,290.27,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_093,Pea parantha/paratha (Matar ka parantha/paratha) with Rajbogh,Snack,North Indian,North Indian Cuisine,Vegetarian,"Pea parantha/paratha (Matar ka parantha/paratha) (150g), Rajbogh (100g)",250,419.79,10.09,60.42,15.48,8.53,29.59,181.55,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_094,Keema parantha/paratha with Khoa ladoo,Beverage,North Indian,North Indian Cuisine,Non-Vegetarian,"Keema parantha/paratha (150g), Khoa ladoo (100g)",250,753.15,26.33,61.97,44.95,8.24,34.85,242.64,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_095,Paneer parantha/paratha with Chicken pakora/pakoda,Dessert,North Indian,North Indian Cuisine,Non-Vegetarian,"Paneer parantha/paratha (150g), Chicken pakora/pakoda (100g)",250,984.55,18.0,41.04,82.91,6.96,5.88,317.01,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_096,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha) with Vegetable samosa,Breakfast,North Indian,North Indian Cuisine,Vegetarian,"Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha) (150g), Vegetable samosa (100g)",250,767.85,10.52,45.3,60.35,8.1,2.71,373.48,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_097,Poori with Coriander chutney (Hare dhaniye ki chutney),Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Poori (150g), Coriander chutney (Hare dhaniye ki chutney) (100g)",250,1149.3,3.41,20.49,116.78,4.66,5.84,234.23,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_098,Spinach poori (Palak poori) with Curd vegetable dip,Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Spinach poori (Palak poori) (150g), Curd vegetable dip (100g)",250,1082.59,6.01,17.68,109.73,2.96,5.78,185.69,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_099,Methi poori with Spicy chutney sandwich,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Methi poori (150g), Spicy chutney sandwich (100g)",250,1314.61,10.91,46.0,121.48,6.14,4.35,368.45,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_100,Dal stuffed poori with Sunset and sunrise open sandwich,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Dal stuffed poori (150g), Sunset and sunrise open sandwich (100g)",250,1419.05,11.7,34.1,137.68,4.33,2.38,573.56,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_101,Potato stuffed poori (Aloo ki poori) with Chocolate pastry,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Potato stuffed poori (Aloo ki poori) (150g), Chocolate pastry (100g)",250,1408.48,9.33,46.34,132.14,2.78,22.73,151.33,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_102,Tandoori parantha/paratha with Chocolate eggless cake,Breakfast,North Indian,North Indian Cuisine,Non-Vegetarian,"Tandoori parantha/paratha (150g), Chocolate eggless cake (100g)",250,755.07,14.28,89.56,37.95,8.48,35.49,198.32,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_103,Boiled rice (Uble chawal) with Gingerman biscuit,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Boiled rice (Uble chawal) (150g), Gingerman biscuit (100g)",250,533.22,10.16,93.82,13.0,3.88,21.97,920.15,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_104,Plain pulao with Chocolate cream shells,Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Plain pulao (150g), Chocolate cream shells (100g)",250,637.49,8.61,91.99,26.27,3.44,36.45,417.48,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_105,Mixed vegetable pulao with Orange cream flan,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Mixed vegetable pulao (150g), Orange cream flan (100g)",250,449.85,8.81,62.39,18.59,4.63,27.3,364.29,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_106,Mushroom pulao with Choux swans,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Mushroom pulao (150g), Choux swans (100g)",250,402.77,8.13,43.45,21.64,3.17,7.63,478.62,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_107,Sprouted moong pulao with Sajina,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Sprouted moong pulao (150g), Sajina (100g)",250,514.71,14.1,93.11,8.45,10.29,28.04,241.44,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_108,Paneer pulao with Lentils and semolina porridge (Dal suji porridge/daliya),Breakfast,North Indian,North Indian Cuisine,Vegetarian,"Paneer pulao (150g), Lentils and semolina porridge (Dal suji porridge/daliya) (100g)",250,990.15,6.23,36.33,90.78,2.37,15.5,118.06,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_109,Peanut pulao with Chickpea flour cookies (Sweet besan rounds/cookies),Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Peanut pulao (150g), Chickpea flour cookies (Sweet besan rounds/cookies) (100g)",250,496.93,12.27,71.41,17.69,6.91,33.06,274.89,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_110,Navratan pulao with Wheat flour and nuts ladoos (Atta nuts ladoos),Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Navratan pulao (150g), Wheat flour and nuts ladoos (Atta nuts ladoos) (100g)",250,784.46,18.76,99.78,33.37,13.03,19.72,509.46,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_111,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao) with Semolina idli (Suji/Rava idli),Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Green chickpeas pulao (Choliya pulao/Hare chane ka pulao) (150g), Semolina idli (Suji/Rava idli) (100g)",250,466.53,16.66,75.03,10.7,10.57,7.14,440.1,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_112,Mutton biryani/biriyani with Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),Beverage,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Mutton biryani/biriyani (150g), Orange milkshake with ice cream (Narangi milkshake ice cream ke saath) (100g)",250,353.96,13.02,42.9,14.33,3.79,12.59,410.61,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_113,Vegetable biryani/biriyani with Nannari sharbat,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Vegetable biryani/biriyani (150g), Nannari sharbat (100g)",250,350.71,4.75,51.46,14.28,4.96,26.79,276.85,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_114,"Lemon rice (Pulihora, Elumichai sadam, Chitranna) with Putharekulu",Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Lemon rice (Pulihora, Elumichai sadam, Chitranna) (150g), Putharekulu (100g)",250,582.75,10.05,92.04,19.37,5.53,25.03,283.34,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_115,Sweet rice (Meethe chawal) with Chhena poda,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Sweet rice (Meethe chawal) (150g), Chhena poda (100g)",250,667.68,16.83,97.53,24.8,3.09,67.85,17.8,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_116,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam) with Fish sandwich,Dinner,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam) (150g), Fish sandwich (100g)",250,443.81,13.34,59.48,16.85,4.42,6.91,481.81,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_117,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna) with Pumpkin cookies,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna) (150g), Pumpkin cookies (100g)",250,777.96,13.69,142.31,16.72,8.74,49.09,295.11,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_118,Spanish rice with Olive biscuit,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Spanish rice (150g), Olive biscuit (100g)",250,684.65,9.48,101.66,27.09,4.99,34.16,265.01,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_119,Chinese fried rice with Date pickle (Khajoor ka achaar),Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Chinese fried rice (150g), Date pickle (Khajoor ka achaar) (100g)",250,363.16,7.75,54.76,12.36,8.66,32.67,511.4,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_120,Macroni cheese pie with Pickled cabbage,Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Macroni cheese pie (150g), Pickled cabbage (100g)",250,269.63,9.16,34.21,11.36,1.21,7.18,422.15,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_121,Vegetable chowmein with Chicken manchurian,Lunch,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Vegetable chowmein (150g), Chicken manchurian (100g)",250,336.9,14.13,29.22,21.5,3.2,3.85,2802.47,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_122,Chicken chowmein with Corn omelette/omlet,Dinner,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Chicken chowmein (150g), Corn omelette/omlet (100g)",250,393.93,20.87,21.52,25.23,2.48,2.85,598.64,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_123,Cheese noodle ring with Sauteed radishes with green beans,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cheese noodle ring (150g), Sauteed radishes with green beans (100g)",250,294.82,11.74,26.98,15.79,5.42,6.04,428.04,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_124,Spaghetti and cheese balls in tomato sauce with Cabbage raita (Pattagobhi raita),Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Spaghetti and cheese balls in tomato sauce (150g), Cabbage raita (Pattagobhi raita) (100g)",250,847.32,6.86,16.98,83.88,1.81,6.96,281.52,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_125,Penne platter with Chicken and cheese souffle,Dessert,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Penne platter (150g), Chicken and cheese souffle (100g)",250,448.45,16.63,34.77,27.8,1.9,9.21,545.99,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_126,Pasta hot pot with Khakhra,Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Pasta hot pot (150g), Khakhra (100g)",250,366.25,13.54,45.06,15.03,6.63,9.87,530.91,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_127,Chicken lasagne with Banana appam,Lunch,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Chicken lasagne (150g), Banana appam (100g)",250,751.05,16.84,40.91,58.07,0.84,14.06,377.97,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_128,Fettuccine with spinach sauce with Jackfruit fritters (Ponsa mulik/Kathal ka pakora),Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Fettuccine with spinach sauce (150g), Jackfruit fritters (Ponsa mulik/Kathal ka pakora) (100g)",250,791.61,6.99,42.28,66.16,2.66,13.25,276.77,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_129,Naan with Honey cake,Snack,North Indian,North Indian Cuisine,Vegetarian,"Naan (150g), Honey cake (100g)",250,763.26,15.16,126.66,22.18,3.38,41.81,561.72,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_130,Bhatura with Pumpkin soup,Beverage,North Indian,North Indian Cuisine,Vegetarian,"Bhatura (150g), Pumpkin soup (100g)",250,1229.85,2.92,18.17,127.04,1.76,2.5,87.95,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_131,Idli with Dal makhani,Dessert,South Indian,South Indian Cuisine,Vegetarian,"Idli (150g), Dal makhani (100g)",250,280.35,10.28,50.23,3.56,5.73,1.22,193.09,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_132,Masala dosa with Sev (Omapodi/Karapusa),Breakfast,South Indian,South Indian Cuisine,Vegetarian,"Masala dosa (150g), Sev (Omapodi/Karapusa) (100g)",250,856.01,10.05,42.23,71.84,6.13,2.53,340.11,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_133,Semolina dosa (Suji/Rava dosa) with Garlic chickpea soup (Lahasun aur chane ka shoraba),Lunch,South Indian,South Indian Cuisine,Vegetarian,"Semolina dosa (Suji/Rava dosa) (150g), Garlic chickpea soup (Lahasun aur chane ka shoraba) (100g)",250,430.11,15.4,63.18,12.69,8.9,9.21,383.27,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_134,Onion tomato uttapam with Mustard sauce,Dinner,South Indian,South Indian Cuisine,Vegetarian,"Onion tomato uttapam (150g), Mustard sauce (100g)",250,851.61,6.84,25.27,80.12,2.02,5.42,237.46,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_135,Paneer kaathi roll with Thousand island dressing,Snack,North Indian,North Indian Cuisine,Vegetarian,"Paneer kaathi roll (150g), Thousand island dressing (100g)",250,836.78,11.75,34.64,72.19,4.06,8.04,1277.64,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_136,Makki ki roti with Royal icing,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Makki ki roti (150g), Royal icing (100g)",250,728.54,6.98,122.81,25.3,7.79,86.62,390.83,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_137,Washed moong dal (Dhuli moong ki dal) with Vegetable soup,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Washed moong dal (Dhuli moong ki dal) (150g), Vegetable soup (100g)",250,130.21,6.24,16.46,4.07,4.76,1.79,396.64,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_138,Washed urad dal (Dhuli urad ki dal) with Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Washed urad dal (Dhuli urad ki dal) (150g), Cracked wheat khichri/khichdi (Dalia khichri/khichdi) (100g)",250,259.43,11.32,31.11,9.99,6.04,4.27,438.26,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_139,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki) with Lemon and ginger squash (Nimbu aur adrak ka squash),Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Split bengal gram with bottle gourd (Channa dal with ghiya/lauki) (150g), Lemon and ginger squash (Nimbu aur adrak ka squash) (100g)",250,280.22,4.73,54.71,5.61,5.15,44.11,240.39,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_140,Dry washed urad with Gooseberry marmalade (Amla murabba),Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Dry washed urad (150g), Gooseberry marmalade (Amla murabba) (100g)",250,310.23,10.41,55.83,5.28,6.09,29.7,660.58,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_141,Mixed dal with Tomato sauce,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Mixed dal (150g), Tomato sauce (100g)",250,127.22,4.57,15.92,4.92,4.22,6.2,386.83,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_142,Whole moong (Moong ki dal) with Tartare sauce,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Whole moong (Moong ki dal) (150g), Tartare sauce (100g)",250,691.48,4.81,10.79,69.96,3.45,3.07,442.74,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_143,Whole masoor (Masoor ki dal) with Onion tomato baghar (Pyaaz tamatar ka tadka),Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Whole masoor (Masoor ki dal) (150g), Onion tomato baghar (Pyaaz tamatar ka tadka) (100g)",250,218.59,4.68,14.22,15.76,5.09,4.51,216.91,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_144,Whole moth (Moth ki dal) with Brinjal pickle (Baingan ka achaar),Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Whole moth (Moth ki dal) (150g), Brinjal pickle (Baingan ka achaar) (100g)",250,221.51,5.25,12.84,16.91,7.4,2.06,3695.21,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_145,Whole urad (Urad ki dal) with Instant coffee,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Whole urad (Urad ki dal) (150g), Instant coffee (100g)",250,103.86,3.96,11.22,4.68,3.48,4.47,194.1,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_146,Moti mahal dal (Urad rajmah mix dal) with Lem-o-gin,Dinner,North Indian,North Indian Cuisine,Vegetarian,"Moti mahal dal (Urad rajmah mix dal) (150g), Lem-o-gin (100g)",250,176.22,5.98,18.66,8.52,5.2,7.93,264.55,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_147,Black channa curry/Bengal gram curry (Kale chane ki curry) with Mango milkshake (Aam milkshake),Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Black channa curry/Bengal gram curry (Kale chane ki curry) (150g), Mango milkshake (Aam milkshake) (100g)",250,267.92,10.23,28.39,12.27,12.24,10.69,551.21,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_148,Chickpeas curry (Safed channa curry) with Egg sandwich (Ande ka sandwich),Beverage,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Chickpeas curry (Safed channa curry) (150g), Egg sandwich (Ande ka sandwich) (100g)",250,531.11,17.84,59.13,26.06,8.98,9.03,998.65,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_149,Lobia curry with Club sandwich,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Lobia curry (150g), Club sandwich (100g)",250,458.81,16.4,45.33,23.55,8.67,5.77,994.78,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_150,Soyabean curry with Sweet open sandwich,Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Soyabean curry (150g), Sweet open sandwich (100g)",250,489.17,20.63,49.38,23.44,13.37,16.22,734.3,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_151,Kidney bean curry (Rajmah curry) with Classic club sandwich,Lunch,North Indian,North Indian Cuisine,Vegetarian,"Kidney bean curry (Rajmah curry) (150g), Classic club sandwich (100g)",250,416.42,15.67,43.06,20.21,10.37,5.6,809.39,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_152,Sambar with Wheat flakes,Dinner,South Indian,South Indian Cuisine,Vegetarian,"Sambar (150g), Wheat flakes (100g)",250,257.82,8.64,31.43,10.56,5.65,12.25,261.71,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_153,Besan kadhi with pakodies with Baked egg,Snack,North Indian,North Indian Cuisine,Non-Vegetarian,"Besan kadhi with pakodies (150g), Baked egg (100g)",250,823.88,14.34,20.76,76.54,2.25,2.98,614.49,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_154,Khatta channa with Khoa and coconut pancake,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Khatta channa (150g), Khoa and coconut pancake (100g)",250,575.84,16.43,59.03,31.13,9.54,23.59,870.98,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_155,Sprouted moong dal chat with Cream of tomato soup,Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Sprouted moong dal chat (150g), Cream of tomato soup (100g)",250,146.51,6.64,12.95,13.6,3.41,4.17,4591.82,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_156,Potato cauliflower (Aloo gobhi) with Egg drop soup,Breakfast,Pan-Indian,Pan-Indian Cuisine,Non-Vegetarian,"Potato cauliflower (Aloo gobhi) (150g), Egg drop soup (100g)",250,185.91,15.78,10.08,25.71,5.34,1.26,12800.98,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_157,Potato capsicum (Shimla mirch aloo) with Chapati/Roti,Lunch,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Potato capsicum (Shimla mirch aloo) (150g), Chapati/Roti (100g)",250,390.61,7.99,48.73,17.55,9.34,1.81,418.04,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_158,Cabbage and peas (Pattagobhi aur matar) with Pea parantha/paratha (Matar ka parantha/paratha),Dinner,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Cabbage and peas (Pattagobhi aur matar) (150g), Pea parantha/paratha (Matar ka parantha/paratha) (100g)",250,286.55,10.45,30.87,12.76,11.6,2.75,490.58,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_159,Carrot and fenugreek leaves (Gajar methi) with Dal stuffed poori,Snack,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Carrot and fenugreek leaves (Gajar methi) (150g), Dal stuffed poori (100g)",250,878.04,5.23,16.39,87.41,8.61,3.46,522.55,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_160,Potato fenugreek (Aloo methi) with Sprouted moong pulao,Beverage,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Potato fenugreek (Aloo methi) (150g), Sprouted moong pulao (100g)",250,315.7,5.56,30.2,18.67,6.18,2.24,486.05,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_161,"Brinjal bhartha (Baingan ka bhartha) with Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Dessert,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Brinjal bhartha (Baingan ka bhartha) (150g), Lemon rice (Pulihora, Elumichai sadam, Chitranna) (100g)",250,273.98,6.33,28.22,14.6,7.43,3.51,385.34,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
IND_MEAL_162,Dry potato (Sookhe aloo) with Vegetable chowmein,Breakfast,Pan-Indian,Pan-Indian Cuisine,Vegetarian,"Dry potato (Sookhe aloo) (150g), Vegetable chowmein (100g)",250,284.44,5.5,37.01,12.63,4.68,2.46,558.46,Calculated from Indian Food Composition Data,Composite Recipe Engine,2026-09-01
